sno	position	sname	closedDay	specialty	explanation
1	1	혜교	1	컬러 전문가	화려한 컬러블럭 및 그라데이션을 통해 고객의 개성을 강조합니다.
2	2	태희	7	머리결 디자인	트렌디한 컷과 엉키지 않는 스타일을 만들어, 손님들이 간편하게 관리할 수 있도록 도와줍니다.
3	3	아름	4,5	헤어 염색	다양한 헤어 컬러 기술을 사용하여 고객의 피부톤과 얼굴 형태에 맞는 컬러를 추천합니다.
4	3	수지	2,3	남성 헤어 스타일	멋진 품격을 강조하는 남성들을 위해 세련된 컷과 스타일링을 제공합니다.
5	3	수현	5,6	웨딩 헤어 스타일	특별한 날을 위해 고객의 웨딩 헤어 스타일을 섬세하게 디자인합니다.
6	4	지현	2,3	장인의 손길	자연스러운 헤어 스타일링에 능숙하며, 고객의 머리카락을 건강하고 아름답게 다듬어줍니다.
7	4	예진	3,4	패션 트렌드	최신 트렌드를 반영한 스타일을 제공하여 고객들이 항상 스타일에 대한 자신감을 느끼도록 돕습니다.
8	4	레아	4,5	로고 디자인	각 고객에게 맞는 독특한 로고와 브랜딩을 통해 미용실의 이미지를 강화합니다.
9	4	현빈	4,6	헤어 확장	볼륨 있고 풍성한 머리카락을 원하는 고객들을 위해 다양한 헤어 확장 기술을 제공합니다.
10	4	라온	5,6	헤어 케어	손상된 머리카락을 치유하고 보호하기 위한 특별한 헤어 케어 프로그램을 제공합니다.
11	4	중기	3,5	헤어 스타일링	간편하면서도 세련된 스타일링을 제공하여 고객들이 자신감 있게 보일 수 있도록 돕습니다.
