rvno	rno	note
1	3	 Friendly
2	5	 미용사님이 머리 스타일에 대한 이해도가 뛰어났어요
3	8	 직원들이 웃으면서 환영해 주셨어요
4	13	 서비스가 빠르고 효율적이어서 좋았어요
5	26	 스타일링 결과가 예상 이상이었어요
6	30	 미용사님이 상냥하고 친절하셨어요
7	31	 분위기가 현대적이고 세련되었어요
8	34	 분위기가 따뜻하고 활기찼어요
9	36	 Detail
10	39	  미용사님이 제 소망을 잘 이해하고 원하는 스타일을 완벽하게 소화시켜 주셨어요
11	52	 미용사님이 친절하고 상냥했어요
12	59	분위기는 평범했고, 스타일링 결과가 좀 아쉬웠어요.
13	67	  예약 시간을 엄수하고 빠른 서비스로 편리했어요
14	75	 스타일링 결과가 내가 원했던 것과 정확히 일치했어요
15	79	 미용실 내부가 아름다웠어요
16	84	 서비스가 정말 훌륭해서 감동받았어요
17	86	모든 면에서 완벽한 경험이었습니다. 분위기도, 서비스도, 스타일링 결과도 모두 만족스러웠어요.
18	87	 미용실이 깨끗하고 아늑해서 기분이 좋았어요
19	90	 미용실 위치가 편리했어요
20	91	 미용사님이 정확하게 내가 원하는 스타일을 이해해 주셨어요
21	93	 분위기가 밝고 따뜻해서 기분이 좋았어요
22	101	 Effective
23	110	 분위기가 너무 좋았어요
24	113	 분위기가 편안하고 모든 사람들이 친절했어요
25	114	 분위기가 따뜻하고 친근해서 마음이 편안해졌어요
26	115	완벽한 서비스와 스타일링 결과를 제공해줘서 너무 만족스러웠습니다.
27	118	 미용사님이 머리 스타일에 대한 아이디어를 제공해 주셨어요
28	120	 미용실이 깨끗하고 아늑해서 마음이 편안했어요
29	121	 서비스가 매우 전문적이었고 훌륭했어요
30	153	 미용사님이 세심하게 일해 주셔서 감사했어요
31	155	 예약을 변경하는 것이 쉬웠고 편리했어요
32	158	 미용사님이 머리 관리에 대해 조언해 주셨어요
33	161	 예약 시간을 잘 지켜주셨어요
34	162	 스타일링 제품이 효과적이고 오랫동안 지속됐어요
35	170	 미용사님이 내 소망을 잘 이해해 주셨어요
36	180	 분위기가 편안하고 모든 사람들이 친절했어요
37	184	 스타일링 제품이 효과적이었고 오랫동안 지속됐어요
38	185	 미용사님이 정확하게 내가 원하는 스타일을 이해해 주셨어요
39	193	 분위기가 따뜻하고 친근했어요
40	195	 예약하기 쉽고 편리했어요
41	196	 서비스가 훌륭해요
42	197	 분위기가 조용하고 평화로워서 마음이 편안해졌어요
43	205	 스타일링 결과가 내가 원했던 것과 정확히 일치했어요
44	218	 스타일링 결과가 일상 생활에 맞게 잘 나왔어요
45	222	 분위기가 차분하고 조용해서 마음이 편안했어요
46	230	 전반적으로 매우 만족스러운 경험이었습니다
47	231	 분위기가 따뜻하고 친근해서 마음이 편안해졌어요
48	233	분위기는 괜찮았지만, 스타일링 결과가 제 기대에는 조금 못 미쳤어요.
49	236	 스타일링 결과가 예상 이상이었어요
50	237	 서비스가 빠르고 효율적이어서 좋았어요
51	238	 Cozy
52	244	 미용사님이 상냥하고 친절하셔서 기분이 좋았어요
53	245	 다른 사람들에게 추천하고 싶어요
54	267	 Wonderful
55	274	 Calming
56	281	 미용실이 깨끗하고 아늑해서 마음이 편안했어요
57	284	 스타일링 결과가 오랜 기간 유지됐어요
58	291	 예약 시간대가 다양해서 선택할 수 있었어요
59	296	 예약 시간대를 선택할 수 있는 옵션이 좋았어요
60	309	 Convenient
61	310	 스타일링 결과에 만족했습니다
62	333	 분위기가 밝고 활기찼어요
63	342	 예약을 변경하는 것이 쉬웠어요
64	346	 분위기가 매우 편안했어요
65	350	 가격이 합리적이었고 서비스 퀄리티가 좋았어요
66	355	 분위기가 너무 아름다웠고 편안했어요
67	362	 Convenient
68	366	 정확히 원하는 스타일을 만들어 주셨어요
69	368	 미용사님이 정확하게 내가 원하는 스타일을 이해해 주셨어요
70	369	 분위기가 따뜻하고 친근해서 마음이 편안해졌어요
71	380	 스타일링 결과가 일상 생활에 맞게 잘 나왔어요
72	382	 분위기가 차분하고 조용해서 마음이 편안했어요
73	384	 다음에도 꼭 방문하고 싶어요
74	387	 미용사님이 세심하게 신경 써 주셔서 감동 받았어요
75	390	 미용실에서 사용한 제품들이 향이 좋았어요
76	392	 분위기가 활기차고 생기 넘쳤어요
77	393	 스타일링 결과가 내가 원했던 것과 정확히 일치했어요
78	399	 미용사님이 기분 좋게 맞아주셨어요
79	405	 예약 시간대를 선택할 수 있는 옵션이 좋았어요
80	408	 분위기가 아늑하고 따뜻했어요
81	417	 스타일링 결과가 예상 이상이었어요
82	421	  분위기가 아늑하고 편안해서 좋았어요
83	423	 서비스가 매우 전문적이었고 훌륭했어요
84	424	 스타일링 결과가 일상 생활에 맞게 잘 나왔어요
85	426	 다음에도 꼭 방문하고 싶어요
86	427	 Friendly
87	432	 미용실이 깔끔하고 정돈돼 있어서 마음이 편안했어요
88	433	 미용사님이 세심하게 신경 써 주셨어요
89	437	 미용실의 장식이 멋있었어요
90	444	 스타일링 결과가 일상 생활에 맞게 잘 나왔어요
91	455	 분위기가 따뜻하고 활기찼어요
92	459	 Cleanliness
93	465	분위기는 아늑하고 편안했지만, 스타일링 결과는 제 기대에 조금 못 미쳤어요.
94	466	 Calming
95	469	 스타일링 제품이 효과적이었고 오랫동안 지속됐어요
96	471	 예약을 변경하는 것이 편리했고 쉬웠어요
97	472	 서비스가 빠르고 효율적이어서 좋았어요
98	479	 미용사님이 스타일링에 대해 내 의견을 들어 주셨어요
99	480	분위기는 좋았지만, 스타일링 결과가 제 기대에 조금 못 미쳤어요.
100	482	 가격도 합리적이었습니다
101	492	 Exceeded
102	497	 미용사님이 정확하게 내가 원하는 스타일을 이해해 주셨어요
103	498	 예약 시간대를 선택할 수 있는 옵션이 많아서 좋았어요
104	499	 미용사님이 섬세하게 일해 주셨어요
105	501	  가격 대비 만족스러운 서비스였어요
106	503	 서비스가 빠르고 효율적이어서 기분이 좋았어요
107	508	 분위기가 차분하고 조용해서 마음이 편안했어요
108	513	 서비스가 빠르고 효율적이었어요
109	515	 미용실이 깔끔하고 정돈돼 있어서 마음이 편안했어요
110	518	 분위기가 활기차고 생기 넘쳤어요
111	521	 분위기가 활기차고 생기 넘쳤어요
112	523	 분위기가 고요하고 안정감 있었어요
113	526	 분위기가 활기차고 생기 넘쳤어요
114	533	 서비스에 대해 전반적으로 만족했습니다
115	535	분위기도 서비스도 좋았고, 스타일링 결과도 만족스러웠어요.
116	537	 분위기가 따뜻하고 친근해서 마음이 편안했어요
117	539	 예약 시간대를 선택할 수 있는 옵션이 좋았어요
118	541	 미용실에서 받은 서비스에 대해 매우 만족합니다
119	545	 예약 시간대가 다양해서 선택할 수 있었어요
120	553	 스타일링 결과가 내가 원했던 것과 정확히 일치했어요
121	555	 미용사님이 세심하게 신경 써 주셔서 감동 받았어요
122	567	 예약을 변경하는 것이 쉬웠고 편리했어요
123	568	 분위기가 조용하고 평화로워서 마음이 편안해졌어요
124	571	 미용사님의 기술이 뛰어났어요
125	581	 예약 시간대가 다양해서 선택할 수 있어서 좋았어요
126	584	 미용사님이 적극적으로 소통해 주셨어요
127	587	 서비스가 빠르고 효율적이었어요
128	596	  헤어 컷이나 컬러에 대한 조언이 정확하고 유용했어요
129	602	 분위기가 조용하고 평화로웠어요
130	604	 스타일링 제품이 효과적이었고 오랫동안 지속됐어요
131	608	 분위기가 모두를 편안하게 해줬어요
132	612	 분위기가 조용하고 평화로워서 마음이 편안했어요
133	615	 미용사님이 세심하게 일해 주셔서 감동 받았어요
134	629	 최고의 경험이었습니다!
135	636	 분위기가 밝고 따뜻해서 기분이 좋아졌어요
136	645	 미용사님이 정확히 내가 원하는 스타일을 이해해 주셨어요
137	657	 예약 시간대가 다양해서 선택할 수 있었어요
138	659	 서비스가 정확하게 제 시간에 시작됐어요
139	660	 미용사님이 정말 잘 알고 계셨어요
140	661	 미용사님이 세심하게 신경 써 주셔서 감사했어요
141	663	 미용사님이 정확하게 내가 원하는 스타일을 이해해 주셨어요
142	670	 예약 시간대를 선택할 수 있는 옵션이 좋았어요
143	676	 정말 친절하고 전문적인 서비스였어요
144	683	 미용실이 청결하고 깔끔했어요
145	684	 분위기가 따뜻하고 친근해서 기분이 좋아졌어요
146	687	  서비스가 매우 친절하고 전문적이에요
147	698	 분위기가 따뜻하고 활기찼어요
148	708	 미용사님이 정말 잘 알고 계셨어요
149	711	 미용사님이 내 소망을 잘 이해해 주셨어요
150	713	 미용사님이 내 취향을 잘 파악하셨어요
151	714	 스타일링 결과가 예쁘게 나와서 기분이 좋아졌어요
152	721	 예약을 변경하는 것이 편리했고 쉬웠어요
153	726	 미용사님이 세심하게 신경 써 주셔서 감사했어요
154	729	 Exceeded
155	731	 Cozy
156	735	 예약을 변경하는 것이 편리했고 쉬웠어요
157	740	 서비스가 매우 전문적이었고 훌륭했어요
158	742	 서비스가 정확하게 제공됐고 빠르게 진행됐어요
159	744	 분위기가 따뜻하고 친근해서 마음이 편안해졌어요
160	750	 예약을 변경하는 것이 쉬웠고 편리했어요
161	753	 정말 친절한 직원들이었어요
162	757	 Exceptional
163	760	 스타일링 결과가 마음에 들어서 기분이 좋아졌어요
164	761	 미용실이 깨끗하고 정돈돼 있었어요
165	780	 미용실 내부가 넓고 편안했어요
166	784	 미용사님이 머리 스타일에 대해 이야기해 주셨어요
167	785	 미용사님이 정확히 내가 원하는 스타일을 만들어 주셨어요
168	793	 서비스가 정확하게 제공됐어요
169	794	 예약 시간대가 다양해서 선택할 수 있었어요
170	795	 미용사님이 세심하게 일해 주셔서 감사했어요
171	796	 서비스가 매우 전문적이었어요
172	809	 스타일링 제품들이 좋았어요
173	830	 스타일링 결과가 예상 이상이었어요
174	837	 서비스가 정확하게 제공됐어요
175	838	 미용실이 깨끗하고 아늑해서 마음이 편안했어요
176	842	 서비스가 프로페셔널하게 제공됐어요
177	843	 미용실 위치가 시내 중심부에 있어서 좋았어요
178	846	 서비스가 빠르고 효율적이었어요
179	847	 스타일링 제품이 효과적이었어요
180	851	  스타일링 결과가 기대 이상이에요! 감사합니다
181	858	 서비스 퀄리티가 좋았어요
182	860	 미용사님이 상냥하고 친절하셨어요
183	861	  미용사님의 손재주가 정말 대단해요! 완벽한 스타일링 결과였습니다
184	867	 예약 과정이 간단하고 빠르게 진행됐어요
185	868	 미용사님이 내 소망을 잘 이해해 주셨어요
